Component,Component Pin / Wire,ESP32 Pin / Connection,Voltage / Notes,Required
5V Buck Converter,Input (+),3S LiPo positive (+),9–12.6 V input,Yes
5V Buck Converter,Input (–),3S LiPo negative (–),Common ground,Yes
5V Buck Converter,Output (+),ESP32 VIN pin,5 V to ESP32 main power input,Yes
5V Buck Converter,Output (+),Flysky receiver VCC,Powers receiver (4.8–6 V range),Yes
5V Buck Converter,Output (–),ESP32 GND (any),Common ground for all components,Yes
ESP32 Onboard 3.3V,3V3 pin,"MPU6050 VCC
BMP280 VCC",Clean 3.3V from ESP32 regulator to sensors,Yes
MPU6050 (IMU),VCC,ESP32 3V3,3.3 V power,Yes
MPU6050,GND,ESP32 GND,Ground,Yes
MPU6050,SDA,ESP32 GPIO 21,I²C Data line (shared bus),Yes
MPU6050,SCL,ESP32 GPIO 22,I²C Clock line (shared bus),Yes
MPU6050,AD0 (optional),GND or leave floating,Sets I²C address (GND = 0x68 default),Optional
BMP280 (Barometer),VCC,ESP32 3V3,3.3 V power,Yes
BMP280,GND,ESP32 GND,Ground,Yes
BMP280,SDA,ESP32 GPIO 21,Same I²C bus as MPU6050,Yes
BMP280,SCL,ESP32 GPIO 22,Same I²C bus as MPU6050,Yes
BMP280,SDO (CSB),GND or leave floating,Sets I²C address (GND = 0x76 default),Optional
Flysky FS-iA6 Receiver,VCC,5V Buck Converter output,5 V (preferred for receiver),Yes
Receiver,GND,ESP32 GND,Common ground,Yes
Receiver CH1 (Roll),Signal,ESP32 GPIO 32,PWM input – Roll channel,Yes
Receiver CH2 (Pitch),Signal,ESP32 GPIO 33,PWM input – Pitch channel,Yes
Receiver CH3 (Throttle),Signal,ESP32 GPIO 34,PWM input – Throttle channel,Yes
Receiver CH4 (Yaw),Signal,ESP32 GPIO 35,PWM input – Yaw channel,Yes
Receiver CH5 (Arm),Signal,ESP32 GPIO 25,PWM input – Arm/disarm switch,Yes
Receiver CH6 (Aux),Signal,ESP32 GPIO 26,PWM input – Altitude hold toggle,Yes
ESCs (Electronic Speed Controllers),Signal (each),"ESC1 → GPIO 25
ESC2 → GPIO 26
ESC3 → GPIO 27
ESC4 → GPIO 14",PWM output to each ESC,Yes
Each ESC,GND,ESP32 GND,Signal ground,Yes
Each ESC,Power (+),Direct from 3S LiPo (+),ESC power comes from battery – not from buck,Yes
Battery Voltage Divider,Input (+),3S LiPo positive (+),Raw battery voltage,Yes
Voltage Divider,Output (junction),ESP32 GPIO 34,Scaled voltage (0–3.3 V max) – same pin as CH_THROTTLE (but different function),Yes
Voltage Divider,GND side,ESP32 GND,Ground,Yes
Buzzer,Positive,ESP32 GPIO 13,Driven by code for alerts,Optional
Buzzer,Negative,ESP32 GND,Ground,Optional
